DrugName,Superscript,PublishLink,EditLink
Nitrites,"f,g",https://docs.google.com/document/d/e/2PACX-1vRnkIWEWCEpXxl51Qqqb0W_8J9jzCqiprcoor4FQGE1tTB-G3G-IbiLFqSJBwX6riU8-chX1FFKIYzu/pub?embedded=true,https://docs.google.com/document/d/1mTfZZ6sfGxFiwES_SUJ2nRd2OdED2bP1XMUAGWovAOU/edit?usp=sharing
OTC Cough/Cold Medication,"n,o",https://docs.google.com/document/d/e/2PACX-1vRZxRuDXeBZnfZmQ6uy0jpAeBXxTkBWlnG0_GKHUvPlPeUTVJh0_pnMsJV-vkIu_FBHTQVmPWziBpAJ/pub?embedded=true,https://docs.google.com/document/d/1c_jery2ihmPYgcMC_sfDcqhXfWBLhlvcZlM_51ZemBI/edit?usp=sharing
OxyContin,"k,n,v",https://docs.google.com/document/d/e/2PACX-1vTjPL1blXO0xOgD6GM4m6HfPhsx77wbs3UzXq0Rrn0e3t0S09KVL7w_6xXDad6cRsBdv0WW3lSGfwJK/pub?embedded=true,https://docs.google.com/document/d/1RPJWLeA-mRDqz-xrLSyqHjv0c991ITT1-Rk4lKNs0zw/edit?usp=sharing
PCP,"e,oo",https://docs.google.com/document/d/e/2PACX-1vQWKyL_iLC4cecsIBJxqYsdHCR8qtyeHVUSAlzPUXXu1ArQo4QUUTGiea4W3nMH-q12hnsgAIQXRwyc/pub?embedded=true,https://docs.google.com/document/d/1K3edYyZhENBeuwstyVTTU1_vCO-71VGt4rXRMn8e_Gs/edit?usp=sharing
Provigil,"m,o",https://docs.google.com/document/d/e/2PACX-1vQcUwhc9_tg1vpRMjk7OEi6PNX7bFcjpp9QQP54jaOr1Nhy6qo6L4-qkw6JfP4JSNgCT0tBfpGwiqSY/pub?embedded=true,https://docs.google.com/document/d/1GSSW39dakrwS3jZe8gQLgzx7WIaYsubbbmplMIMG_s0/edit?usp=sharing
Regular Small Cigars,"ii,oo",https://docs.google.com/document/d/e/2PACX-1vQ28ChEOx2ZroCiuR6Gy31EHo6k1MxPZuMevAqu6O_Sd-zG1y3yoHPwdypG_VI1bnulyx6xEOcmPUI3/pub?embedded=true,https://docs.google.com/document/d/13_2EaN7JKSHzWSi__VmrD5MjR6GxslnNUJGEjTymAlo/edit?usp=sharing
Ritalin,"k,n,o",https://docs.google.com/document/d/e/2PACX-1vToCTfNlpIbolhmHIE0c4mQtIGlwV7KRuuW90UF426zGC6Ti8XFNQXF6XGArleGXLXWbptv-N5YCZbk/pub?embedded=true,https://docs.google.com/document/d/1iH07cii5klnGEa3Lt-fU0OvcqTE9yNRFkR4wTZIJMDk/edit?usp=sharing
Rohypnol,r,https://docs.google.com/document/d/e/2PACX-1vTd8xCwtWj90B7Ks6CTvFaEPKDeJK8uK-bN1rvoC8NCwvAKGNPR3GkTKWXnHCcZGi6a8665maytMmPe/pub?embedded=true,https://docs.google.com/document/d/1KQ98ISoWFb8iRyEmJdAM5LJ_a0NFdO5JrDPln3hgUWQ/edit?usp=sharing
Salvia,o,https://docs.google.com/document/d/e/2PACX-1vTVQQyviGGjdzKgISyiQf25jWkE66XoiaplITx2QE6hwY_u7M-FhWdbkITN_juhyiAZVAnRrKKVLtMr/pub?embedded=true,https://docs.google.com/document/d/1ysia7GtcLZQ7DjxyzLARYhwjM_MZ-Rk9kpmFvhOMm4I/edit?usp=sharing
Sedatives (Barbiturates),"m,p",https://docs.google.com/document/d/e/2PACX-1vR54ekiKBVkYrPW2RXv379UfMFu1YAhcC44eLO9f-SMzUlqIMzR9KjxDYCzq9V0tUSy_tPrkgPJAIsC/pub?embedded=true,https://docs.google.com/document/d/1cpXSuebcI2wFajk8260j36hURmeFCgx5BPZIPipK_h8/edit?usp=sharing
